Date,AirCraft_Type,AirCraft_Regn,AirCraft_FltNo,From,To,Total_Payload_kg,Distance_Flown_km,Hours_Flown
5/11/2021,C208,5Y-ESU,MAF 1,DUKANA,SEDA,967,191,0.6
5/11/2021,C208,5Y-ESU,MAF 1,SEDA,WILSON,1089,416,1.5
5/28/2021,C208,5Y-ESU,MAF 1,WILSON,LOKICHOGGIO,667,684,2.5
5/28/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,WILSON,990,684,2.4
5/31/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,KAPOETA,1147,106,0.4
5/31/2021,C208,5Y-ESU,MAF 1,KAPOETA,TORIT,1218,118,0.5
5/31/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA ,1294,120,0.5
5/31/2021,C208,5Y-ESU,MAF 1,WILSON,LOKICHOGGIO,716,685,2.5
6/1/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,1116,148,0.7
6/1/2021,C208,5Y-ESU,MAF 1,MUNDRI,JUBA,1180,148,0.7
6/1/2021,C208,5Y-ESU,MAF 1,JUBA,IBBA,832,270,1.1
6/1/2021,C208,5Y-ESU,MAF 1,IBBA,YAMBIO,833,85,0.4
6/1/2021,C208,5Y-ESU,MAF 1,YAMBIO,TAMBURA,970,156,0.6
6/1/2021,C208,5Y-ESU,MAF 1,TAMBURA,JUBA,1042,463,1.8
6/3/2021,C208,5Y-ESU,MAF 1,JUBA,YEI,1026,126,0.6
6/3/2021,C208,5Y-ESU,MAF 1,YEI,KAJOKEJI,1142,107,0.5
6/3/2021,C208,5Y-ESU,MAF 1,KAJOKEJI,NIMULE,922,56,0.3
6/3/2021,C208,5Y-ESU,MAF 1,NIMULE,JUBA,1037,152,0.6
6/3/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,1037,120,0.5
6/3/2021,C208,5Y-ESU,MAF 1,TORIT,KAPOETA,1132,119,0.5
6/3/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1218,65,0.4
6/3/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,JUBA,933,222,0.9
6/4/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,660,120,0.6
6/4/2021,C208,5Y-ESU,MAF 1,TORIT,OHILANG,768,37,0.2
6/4/2021,C208,5Y-ESU,MAF 1,OHILANG,CHUKUDUM,618,95,0.4
6/4/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KIMATONG,365,61,0.3
6/4/2021,C208,5Y-ESU,MAF 1,KIMATONG,TORIT,280,80,0.4
6/4/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,598,120,0.5
6/7/2021,C208,5Y-ESU,MAF 1,JUBA,TORIT,682,120,0.5
6/7/2021,C208,5Y-ESU,MAF 1,TORIT,CHUKUDUM,781,104,0.5
6/7/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,532,65,0.3
6/7/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,917,106,0.5
6/7/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,WILSON,1015,685,2.5
6/9/2021,C208,5Y-ESU,MAF 1,WILSON,ENTEBBE,904,531,1.9
6/9/2021,C208,5Y-ESU,MAF 1,ENTEBBE,KAJANSI,1136,20,0.1
6/10/2021,C208,5Y-ESU,MAF 1,KAJANSI,ENTEBBE,1101,20,0.2
6/10/2021,C208,5Y-ESU,MAF 1,ENTEBBE,MWANZA,1126,405,1.5
6/14/2021,C208,5Y-ESU,MAF 1,MWANZA,ENTEBBE,885,405,1.5
6/14/2021,C208,5Y-ESU,MAF 1,ENTEBBE,KAJANSI,989,20,0.2
6/14/2021,C208,5Y-ESU,MAF 1,KAJANSI,ENTEBBE,1004,20,0.2
6/14/2021,C208,5Y-ESU,MAF 1,ENTEBBE,WILSON,1040,533,2
6/15/2021,C208,5Y-ESU,MAF 1,WILSON,JUBA,1009,904,3.2
6/16/2021,C208,5Y-ESU,MAF 1,JUBA,RUBKONA,1129,530,2
6/16/2021,C208,5Y-ESU,MAF 1,RUBKONA,YIDA,1268,96,0.4
6/16/2021,C208,5Y-ESU,MAF 1,YIDA,RUBKONA,1336,96,0.4
6/16/2021,C208,5Y-ESU,MAF 1,RUBKONA,AYOD,1087,220,0.8
6/16/2021,C208,5Y-ESU,MAF 1,AYOD,JUBA,1227,363,1.4
6/17/2021,C208,5Y-ESU,MAF 1,JUBA,YAMBIO,864,352,1.4
6/17/2021,C208,5Y-ESU,MAF 1,YAMBIO,MARIDI,955,119,0.5
6/17/2021,C208,5Y-ESU,MAF 1,MARIDI,MUNDRI,1142,113,0.5
6/17/2021,C208,5Y-ESU,MAF 1,MUNDRI,JUBA,1134,148,0.6
6/18/2021,C208,5Y-ESU,MAF 1,JUBA,KAPOETA,1026,220,0.9
6/18/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1170,220,0.9
6/18/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,1026,222,1
6/18/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,TORIT,845,104,0.5
6/18/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1243,120,0.5
6/21/2021,C208,5Y-ESU,MAF 1,JUBA,KAPOETA,1000,220,0.9
6/21/2021,C208,5Y-ESU,MAF 1,KAPOETA,JUBA,1166,220,0.9
6/21/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,1008,222,0.9
6/21/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,JUBA,813,222,0.8
6/22/2021,C208,5Y-ESU,MAF 1,JUBA,YAMBIO,910,352,1.3
6/22/2021,C208,5Y-ESU,MAF 1,YAMBIO,JUBA,991,352,1.4
6/22/2021,C208,5Y-ESU,MAF 1,JUBA,MUNDRI,1119,148,0.7
6/22/2021,C208,5Y-ESU,MAF 1,MUNDRI,JUBA,1124,148,0.6
6/28/2021,C208,5Y-ESU,MAF 1,JUBA,CHUKUDUM,1007,222,0.9
6/28/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,KAPOETA,836,65,0.3
6/28/2021,C208,5Y-ESU,MAF 1,KAPOETA,LOKICHOGGIO,1211,106,0.5
6/28/2021,C208,5Y-ESU,MAF 1,LOKICHOGGIO,KAPOETA,1061,106,0.5
6/28/2021,C208,5Y-ESU,MAF 1,KAPOETA,CHUKUDUM,1143,65,0.3
6/28/2021,C208,5Y-ESU,MAF 1,CHUKUDUM,TORIT,859,104,0.6
6/28/2021,C208,5Y-ESU,MAF 1,TORIT,JUBA,1279,120,0.5
