"Date","AirCraft_Type","AirCraft_Regn","AirCraft_FltNo","From","To","Total_Payload_kg","Distance_Flown_km","Hours_Flown","Fuel_Burn_kg_Payload","Fuel_Burn_kg_Time"
"2/16/2021","C208","5Y-ESU","MAF 1","KAJO KEJI","JUBA",1102,113,0.5,49.8104,110
"2/22/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1056,120,0.5,50.688,110
"2/22/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1155,119,0.6,54.978,132
"2/22/2021","C208","5Y-ESU","MAF 1","KAPOETA","NAGASHOT",765,56,0.3,17.136,66
"2/22/2021","C208","5Y-ESU","MAF 1","NAGASHOT","TORIT",536,111,0.4,23.7984,88
"2/22/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1364,120,0.5,65.472,110
"2/23/2021","C208","5Y-ESU","MAF 1","JUBA","MUNDRI",910,148,0.7,53.872,154
"2/23/2021","C208","5Y-ESU","MAF 1","MUNDRI","MARIDI",964,113,0.5,43.5728,110
"2/23/2021","C208","5Y-ESU","MAF 1","MARIDI","YAMBIO",1126,119,0.5,53.5976,110
"2/23/2021","C208","5Y-ESU","MAF 1","YAMBIO","JUBA",1094,352,1.4,154.0352,308
"2/24/2021","C208","5Y-ESU","MAF 1","JUBA","MVOLO",1000,224,1,89.6,220
"2/24/2021","C208","5Y-ESU","MAF 1","MVOLO","TONJ",1176,196,0.8,92.1984,176
"2/24/2021","C208","5Y-ESU","MAF 1","TONJ","RUMBEK",1178,120,0.5,56.544,110
"2/24/2021","C208","5Y-ESU","MAF 1","RUMBEK","YIROL",1163,98,0.5,45.5896,110
"2/24/2021","C208","5Y-ESU","MAF 1","YIROL","JUBA",1249,222,0.8,110.9112,176
"2/25/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",959,239,0.9,91.6804,198
"2/25/2021","C208","5Y-ESU","MAF 1","MARIDI","JUBA",1122,239,1,107.2632,220
"2/26/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",759,120,0.5,36.432,110
"2/26/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",855,119,0.6,40.698,132
"2/26/2021","C208","5Y-ESU","MAF 1","KAPOETA","LOKI",923,106,0.5,39.1352,110
"2/26/2021","C208","5Y-ESU","MAF 1","LOKICHOGGIO","WILSON",1058,685,2.5,289.892,550
"3/13/2021","C208","5Y-ESU","MAF 1","JUBA","MARIDI",1067,239,1.1,102.0052,242
"3/13/2021","C208","5Y-ESU","MAF 1","MARIDI","JUBA",1217,239,1.1,116.3452,242
"3/22/2021","C208","5Y-ESU","MAF 1","JUBA","CHUKUDUM",962,222,1,85.4256,220
"3/22/2021","C208","5Y-ESU","MAF 1","CHUKUDUM","KAPOETA",808,65,0.3,21.008,66
"3/22/2021","C208","5Y-ESU","MAF 1","KAPOETA","TORIT",1193,119,0.5,56.7868,110
"3/22/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1274,120,0.5,61.152,110
"3/23/2021","C208","5Y-ESU","MAF 1","MUNDRI","TAMBURA",840,319,1.2,107.184,264
"3/23/2021","C208","5Y-ESU","MAF 1","JUBA","MUNDRI",809,148,0.6,47.8928,132
"3/23/2021","C208","5Y-ESU","MAF 1","TAMBURA","JUBA",958,463,2,177.4216,440
"3/24/2021","C208","5Y-ESU","MAF 1","JUBA","MVOLO",1003,224,1,89.8688,220
"3/24/2021","C208","5Y-ESU","MAF 1","YIROL","JUBA",1235,222,0.8,109.668,176
"3/24/2021","C208","5Y-ESU","MAF 1","MVOLO","YIROL",1176,83,0.4,39.0432,88
"3/24/2021","C208","5Y-ESU","MAF 1","JUBA","TONJ",959,419,1.6,160.7284,352
"3/24/2021","C208","5Y-ESU","MAF 1","TONJ","JUBA",1099,419,1.7,184.1924,374
"3/25/2021","C208","5Y-ESU","MAF 1","JUBA","YUAI",965,339,1.4,130.854,308
"3/25/2021","C208","5Y-ESU","MAF 1","YUAI","JUBA",1071,339,1.2,145.2276,264
"3/26/2021","C208","5Y-ESU","MAF 1","TORIT","KAPOETA",1104,119,0.5,52.5504,110
"3/26/2021","C208","5Y-ESU","MAF 1","JUBA","TORIT",1022,120,0.5,49.056,110
"3/26/2021","C208","5Y-ESU","MAF 1","KAPOETA","LOKI",1195,106,0.5,50.668,110
"3/26/2021","C208","5Y-ESU","MAF 1","LOKI","KAPOETA",1091,106,0.5,46.2584,110
"3/26/2021","C208","5Y-ESU","MAF 1","KAPOETA","TORIT",1172,119,0.5,55.7872,110
"3/26/2021","C208","5Y-ESU","MAF 1","TORIT","JUBA",1253,120,0.5,60.144,110
"3/31/2021","C208","5Y-ESU","MAF 1","JUBA","MABIOR(PANYAGOR)",1134,256,1.1,116.1216,242
"3/31/2021","C208","5Y-ESU","MAF 1","MABIOR(PANYAGOR)","JUBA",1307,256,1,133.8368,220
"4/1/2021","C208","5Y-ESU","MAF 1","JUBA","TAMBURA",751,463,1.6,139.0852,352
